Month,DATE,MILLER NAME,AREA,BRAND,BUYER NAME,NO OF DAYS,NO OF DAY REC,BILL NO,QTLS,Rate,Amount,L.H.,C.C,,TDS,Shortage,SELLER,Diff. in,Net Amt.,chq am,Ch/DD No.,CHQ DT,bank,PLACE,   BUYER NAME,? , ,BUYER NAME 
APRIL-2026,2026-04-03,NIDHI AGROS,6TH,B.SULTHAN,SUMAIAYA ENTERPRISES,"=IF(U15>0,""Cleared"", (TODAY()-A15&""  DAYS PENDING""))","=IF(U15>0,W15-A15 & "" days"", ""PAYMENT NOT RECD"")",14,15,8650,=J15*K15,,=L15*3%,,,,,=T15-U15,=J15*K15-M15-N15-Q15+O15+P15,123600,RTGS,2026-05-07,,,,,,
APRIL-2026,2026-04-03,NIDHI AGROS,5TH,B.SPL,ARUN TRADERS,"=IF(U16>0,""Cleared"", (TODAY()-A16&""  DAYS PENDING""))","=IF(U16>0,W16-A16 & "" days"", ""PAYMENT NOT RECD"")",15,30,9900,=J16*K16,,=L16*2%,,,,,=T16-U16,=J16*K16-M16-N16-Q16+O16+P16,291000,RTGS,2026-05-15,,,,,,
APRIL-2026,2026-04-03,NIDHI AGROS,4TH,B.RUSTOM,PLATINUM TRADERS,"=IF(U17>0,""Cleared"", (TODAY()-A17&""  DAYS PENDING""))","=IF(U17>0,W17-A17 & "" days"", ""PAYMENT NOT RECD"")",16,66,9550,=J17*K17,,=L17*2%,,,,,=T17-U17,=J17*K17-M17-N17-Q17+O17+P17,617600,65447,2026-05-08,,,,,,
APRIL-2026,2026-04-03,NIDHI AGROS,ANANTHAPUR,B.MIRZA,P.SRINIVASALU,"=IF(U18>0,""Cleared"", (TODAY()-A18&""  DAYS PENDING""))","=IF(U18>0,W18-A18 & "" days"", ""PAYMENT NOT RECD"")",17,36,7950,=J18*K18,,=L18*3%,,,,,=T18-U18,=J18*K18-M18-N18-Q18+O18+P18,277614,RTGS,2026-04-30,,,,,,
APRIL-2026,2026-04-03,NIDHI AGROS,ANANTHAPUR,B.SULTHAN,P.SRINIVASALU,"=IF(U19>0,""Cleared"", (TODAY()-A19&""  DAYS PENDING""))","=IF(U19>0,W19-A19 & "" days"", ""PAYMENT NOT RECD"")",17,24,8650,=J19*K19,,=L19*3%,,,,,=T19-U19,=J19*K19-M19-N19-Q19+O19+P19,201372,RTGS,2026-04-30,,,,,,
APRIL-2026,2026-04-03,MAHENDRA RICE INDUSTRY,6TH,KOLAM ST,JAI HANUMAN CORPORATION,"=IF(U20>0,""Cleared"", (TODAY()-A20&""  DAYS PENDING""))","=IF(U20>0,W20-A20 & "" days"", ""PAYMENT NOT RECD"")",7,28.6,=5655+195,=J20*K20,=195*28.6,=L20*4%,,,,,=T20-U20,=J20*K20-M20-N20-Q20+O20+P20,155000,RTGS,2026-04-21,,,,,,
APRIL-2026,2026-04-03,MAHENDRA RICE INDUSTRY,6TH,KOLAM ST,SUMAIAYA ENTERPRISES,"=IF(U21>0,""Cleared"", (TODAY()-A21&""  DAYS PENDING""))","=IF(U21>0,W21-A21 & "" days"", ""PAYMENT NOT RECD"")",8,17.94,=5655+195,=J21*K21,=195*17.94,=L21*2%,,,,,=T21-U21,=J21*K21-M21-N21-Q21+O21+P21,99300,rtgs,2026-05-18,,,,,,
APRIL-2026,2026-04-03,MAHENDRA RICE INDUSTRY,5TH,KOLAM ST,SEEMA TRADERS,"=IF(U22>0,""Cleared"", (TODAY()-A22&""  DAYS PENDING""))","=IF(U22>0,W22-A22 & "" days"", ""PAYMENT NOT RECD"")",9,26,=5655+195,=J22*K22,=195*26,=L22*4%,,,,,=T22-U22,=J22*K22-M22-N22-Q22+O22+P22,140900,rtgs,2026-04-13,,,,,,
APRIL-2026,2026-04-03,MAHENDRA RICE INDUSTRY,4TH,KOLAM ST,HARE RAMA HARE KRISHNA TRADING CO,"=IF(U23>0,""Cleared"", (TODAY()-A23&""  DAYS PENDING""))","=IF(U23>0,W23-A23 & "" days"", ""PAYMENT NOT RECD"")",10,18.2,=5655+195,=J23*K23,=195*18.2,=L23*4%,,,,,=T23-U23,=J23*K23-M23-N23-Q23+O23+P23,98600,1772,2026-04-13,,,,,,
APRIL-2026,2026-04-03,MAHENDRA RICE INDUSTRY,4TH,KOLAM ST,SIDRA TRADING CO,"=IF(U24>0,""Cleared"", (TODAY()-A24&""  DAYS PENDING""))","=IF(U24>0,W24-A24 & "" days"", ""PAYMENT NOT RECD"")",11,15.86,=5655+195,=J24*K24,=195*15.86,=L24*3%,,,,,=T24-U24,=J24*K24-M24-N24-Q24+O24+P24,86850,60402,2026-05-05,,,,,,
APRIL-2026,2026-04-03,MAHENDRA RICE INDUSTRY,4TH,KOLAM ST,RAJA TRADERS 4TH,"=IF(U25>0,""Cleared"", (TODAY()-A25&""  DAYS PENDING""))","=IF(U25>0,W25-A25 & "" days"", ""PAYMENT NOT RECD"")",12,52,=5655+195,=J25*K25,=195*52,=L25*4%,,,,,=T25-U25,=J25*K25-M25-N25-Q25+O25+P25,281850,rtgs,2026-04-16,,,,,,
APRIL-2026,2026-04-03,MAHENDRA RICE INDUSTRY,4TH,KOLAM RAW,SONA AGENCIES,"=IF(U26>0,""Cleared"", (TODAY()-A26&""  DAYS PENDING""))","=IF(U26>0,W26-A26 & "" days"", ""PAYMENT NOT RECD"")",13,15.86,=7005+195,=J26*K26,=195*15.86,=L26*3%,,,,,=T26-U26,=J26*K26-M26-N26-Q26+O26+P26,107600,662768,2026-05-07,,,,,,
APRIL-2026,2026-04-03,MAHENDRA RICE INDUSTRY,5TH,KOLAM RAW,N.MUNISWAMY REDDY,"=IF(U27>0,""Cleared"", (TODAY()-A27&""  DAYS PENDING""))","=IF(U27>0,W27-A27 & "" days"", ""PAYMENT NOT RECD"")",14,26,=6955+195,=J27*K27,=195*26,=L27*4%,,,,,=T27-U27,=J27*K27-M27-N27-Q27+O27+P27,173200,679923,2026-04-18,,,,,,
APRIL-2026,2026-04-03,MAHENDRA RICE INDUSTRY,4TH,KOLAM RAW,SHALIMAR ENTERPRISES,"=IF(U28>0,""Cleared"", (TODAY()-A28&""  DAYS PENDING""))","=IF(U28>0,W28-A28 & "" days"", ""PAYMENT NOT RECD"")",15,39,=6955+195,=J28*K28,=195*39,=L28*3%,,,,,=T28-U28,=J28*K28-M28-N28-Q28+O28+P28,262870,rtgs,2026-05-12,,,,,,
APRIL-2026,2026-04-03,MAHENDRA RICE INDUSTRY,MGB,KOLAM RAW,HIRA TRADERS,"=IF(U29>0,""Cleared"", (TODAY()-A29&""  DAYS PENDING""))","=IF(U29>0,W29-A29 & "" days"", ""PAYMENT NOT RECD"")",16,35.1,=6955+195,=J29*K29,=195*35.1,=L29*3%,,,,,=T29-U29,=J29*K29-M29-N29-Q29+O29+P29,236591,RTGS,2026-04-15,"186950/- RTGS,15/APR-2026",,,,,
APRIL-2026,2026-04-03,MAHENDRA RICE INDUSTRY,CHANNARAYAPATANA,KOLAM ST,KANNIKA TRADERS,"=IF(U30>0,""Cleared"", (TODAY()-A30&""  DAYS PENDING""))","=IF(U30>0,W30-A30 & "" days"", ""PAYMENT NOT RECD"")",17,25.48,=5805+195,=J30*K30,=195*25.48,=L30*4%,,,,,=T30-U30,=J30*K30-M30-N30-Q30+O30+P30,141700,RTGS,2026-04-08,,,,,,
